127.0.0.1 - - [03/Dec/2024:19:20:41 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:20:42 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:20:42 -0500] "GET /ProyectoAreaProduccion/registroestilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:20:42 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:27:30 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:27:31 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:28:41 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:29:23 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:41:47 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:47:33 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:48:29 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:48:45 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:48:45 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:48:45 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:48:45 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:50:07 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:50:08 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:51:22 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:51:22 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:56:50 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:56:50 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [03/Dec/2024:19:58:39 -0500] "GET /ProyectoAreaProduccion/registroDeOrden.jsp HTTP/1.1" 200 1452
